review_id,review_text,topic_number,topic_name,topic_description
0,"I initially had trouble deciding between the paperwhite and the voyage because reviews more or less said the same thing: the paperwhite is great, but if you have spending money, go for the voyage.Fortunately, I had friends who owned each, so I ended up buying the paperwhite on this basis: both models now have 300 ppi, so the 80 dollar jump turns out pricey the voyage's page press isn't always sensitive, and if you are fine with a specific setting, you don't need auto light adjustment).It's been ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
1,"Allow me to preface this with a little history. I am (was) a casual reader who owned a Nook Simple Touch from 2011. I've read the Harry Potter series, Girl with the Dragon Tattoo series, 1984, Brave New World, and a few other key titles. Fair to say my Nook did not get as much use as many others may have gotten from theirs.Fast forward to today. I have had a full week with my new Kindle Paperwhite and I have to admit, I'm in love. Not just with the Kindle, but with reading all over again! Now le...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
2,I am enjoying it so far. Great for reading. Had the original Fire since 2012. The Fire used to make my eyes hurt if I read too long. Haven't experienced that with the Paperwhite yet.,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
3,"I bought one of the first Paperwhites and have been very pleased with it its been a constant companion and I suppose Ive read, on average, a book every three days for the past however many years on it. I wouldnt give it up youd have to pry it from my cold dead fingers.For sundry logistical reasons, Ive also made good use of Amazons Kindle app on my iPhone. No Paperwhite screen, naturally, and all the cool usability that delivers, but it works well and has its own attractions as a companion to th...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
4,"I have to say upfront - I don't like coroporate, hermetically closed stuff like anything by Apple or in this case, Amazon. I like having devices on which I can put anything I want and use it. But...I was a fairly happy user of a Nook Touch for several years, but couldn't use all its functionalities since I live in Serbia. Then I lost the Nook and since no other devices can actually be fully used in Serbia (buying books with them, using their online capabilities) except the Kindle, and since no o...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
5,"My previous kindle was a DX, this is my second kindle in years. Love the form factor and all but I do miss the physical buttons for page turning. There is a glitch in the software though. I use the English interface but occasionally I would like to translate words into traditional Chinese. However, it seems that the traditional Chinese characters cannot display correctly and become small boxes. The simplified Chinese characters can be displayed correctly though.",-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
6,"Allow me to preface this with a little history. I am (was) a casual reader who owned a Nook Simple Touch from 2011. I've read the Harry Potter series, Girl with the Dragon Tattoo series, 1984, Brave New World, and a few other key titles. Fair to say my Nook did not get as much use as many others may have gotten from theirs.Fast forward to today. I have had a full week with my new Kindle Paperwhite and I have to admit, I'm in love. Not just with the Kindle, but with reading all over again! Now le...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
7,"Just got mine right now. Looks the same as the previous generation except for the Kindle logo (it's black this time), feels a little heavier, the screen is a little warmer toned than the previous one, BUT the resolution is SO MUCH BETTER! The 300 ppi are definitely obvious and the new font is worth the money.Totally recommend it for a book lover!I'll give it 4 stars instead of 5 because I am used to a cooler screen, but I'm sure I'll get used to this one soon too :)",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
8,"I initially had trouble deciding between the paperwhite and the voyage because reviews more or less said the same thing: the paperwhite is great, but if you have spending money, go for the voyage.Fortunately, I had friends who owned each, so I ended up buying the paperwhite on this basis: both models now have 300 ppi, so the 80 dollar jump turns out pricey the voyage's page press isn't always sensitive, and if you are fine with a specific setting, you don't need auto light adjustment).It's been ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
9,I am enjoying it so far. Great for reading. Had the original Fire since 2012. The Fire used to make my eyes hurt if I read too long. Haven't experienced that with the Paperwhite yet.,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
10,"As reviewed by the wife This is the perfect thing for a new mommy who loves to read books! As soon as I had my baby girl, I had to stop reading my novels because I had to give the baby my full attention. But how much time do I spend laying in bed, on my side, with the baby while she feeds Especially prior to 4 months when feeding took as long as 45 minutes! Not to mention cluster feeds during growth spurts! A book was out of the question because it's sooo tiring to hold up in side-lying-breastfe...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
11,"My new Kindle Paperwhite came from the USA to a small town in Sweden in just five days. Payment of tax and customs handled by Amazon. Had not the UPS been so square (they think everyone sits at home all day) I had received it a day earlier.I am very pleased with the e-reader, easy on the eyes, and comfortable to hold in one hand. Even if I buy many books from Amazon I also want to read books in the ePub format. A positive surprise was how easy it is to convert ePub format to Amazon's own format....",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
12,I am enjoying it so far. Great for reading. Had the original Fire since 2012. The Fire used to make my eyes hurt if I read too long. Haven't experienced that with the Paperwhite yet.,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
13,"Had older model, that you could text to speech, this one hasn't. Liked the smaller size, but having to buy a different cover! Still getting used to shelf quite different from my 4 year old model.Paper white is nice reading.",0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
14,"This is a review of the Kindle Paperwhite launched July 2015. Essentially. the same as the previous Kindle Paperwhite but with a fantastic upgraded (300 dpi) screen, more memory and storage it's a terrific reading device. This review aims to describe both this product, and compare it with the other Kindle devices available to help you choose the best one for you.Before I start, Ive noticed several complains about Kindle not supporting the ePub format used by Canadian public libraries. Dont be pu...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
15,"I love my kindle! I got one for my fiance on his birthday, he loved it!!!!!!! so I decided to get one for myself as well and I am glad I did. It is very easy to read books in it. I LOVE the dictionary on this little device. Normally I just skip a word I don't know the meaning of and try to guess what it means in the context but with kindle, I just press and hold my finger on the word I don't know and translation pops up! so essentially, the meaning of a new word is at your finger tips! )If you l...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
16,"Vraiment bon petit appareil , lger et facile d emploiJ ai hte de m en servir sur les plages cet hiverBelle bibliothque de livres disponiblesBon achat en bref",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
17,"Exactly what it is supposed to be. Works great and I love the built-in light. Perfect reader, and very quick delivery.",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
18,"Trs heureux que les livres soient sur Icloud. Aprs m'tre fait voler, c'est bien de pouvoir retrouver tous mes livres avec toutes les notes que j'avais prises.",0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
19,"Only 4 stars because I found it very confusing at first. I had a Kindle before found it very easy to find what I needed to do. The user guide didn't really answer my questions, but I persisted am getting used to it. I really love the backlit screen no buttons to push to change pages. At first I wasn't sure about the smaller screen, but didn't take long to get over that. I'm sure I'm just a creature of habit not very techy. All in all, the Kindle Paperwhite is great.",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
20,"Almost like reading a real book. Don't is crisp, sharp and easy to read. I've held out from buying a reader for years because I could never quite get past the fact it wasn't a book. With this new kindle I don't even notice, I am immediately immersed. Wildly better than I expected.",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
21,I already had an original Kindle Paperwhite and loved it. Buying this in addition seemed like a bit of an indulgence but I am so pleased I made this move. I love the new font and the clarity of the screen. I love that the Kindle comes to life when I open the cover (I bought a new cover with the magnetic clasp). While there is nothing dramatic about the evolving of the Kindle there are enough changes and improvements for me to feel I have made a great purchase which I am happy with. I also have a...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
22,Received my new kindle in perfect condition and I am very happy it is faster and a clearer it has a. bigger had drive at a good price and a fast delivery that you can count on you can not go wrongThank you,-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
23,"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. I can hold it in one...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
24,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
25,"UPDATE NOVEMBER 2011:My review is now over a year old, as is the Kindle Keyboard as Amazon calls it now. There are newer models: the basic, cheapie Kindle and the Kindle Touch, and of course the Kindle Fire quasi-tablet.Each of these models is an excellent choice. Whichever one is right for you just depends on your preferences.The 3 e-ink Kindles are Kindle Keyboard (this one), Kindle Touch (the newest flagship model), and the basic Kindle. All 3 of them have EXACTLY THE SAME 6 DISPLAY, with the...",3,Apple Headphones,"This topic is primarily about Apple headphones, with a focus on their sound quality and compatibility with different devices."
26,"I'm a first-time Kindle owner, so I have nothing to compare the latest Kindle to. I don't own a Nook. I don't own an iPad (and, in any case, that's comparing apples to oranges). I don't have a Sony e-reader. 'This will be a short, simple review.I received my Kindle about a week ago and haven't been able to put it down.Things I like about my Kindle1. The e-ink display is amazing.2. Using the 5-way controller is simple and effective.3. Page turn speeds are faster than I thought they would be.4. It...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
27,"I woke up to a nice surprise this morning: a new kindle as a gift. I have an iPad and a Kindle DX, but I guess someone heard my complaints of them being too heavy and difficult to do extended-reading on. Don't get me wrong, I absolutely love my iPad and DX, but this new generation of Kindle is perfect for reading outside and for long periods of time. The iPad gets completely washed out in sunlight and often irritates my eyes staring at it for more than a couple of hours. The DX was my go-to devi...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
